items;lenItems;support;PBoarder;NBoarder
(2, 4, 7);3;0.6;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(0, 1, 7);3;0.6;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(0, 1, 2, 3);4;0.6;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(3, 7);2;0.65;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(3, 6);2;0.65;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(6, 7);2;0.65;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(4, 7);2;0.65;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(2, 6);2;0.65;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(2, 7);2;0.65;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(0, 3, 6);3;0.65;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(0, 2, 4);3;0.65;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(0, 3, 7);3;0.65;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(0, 6);2;0.7;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(2, 4);2;0.7;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(0, 4);2;0.7;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(2, 3);2;0.7;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(1, 2);2;0.7;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(1, 3);2;0.7;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(0, 2, 3);3;0.7;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(0, 1, 3);3;0.7;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(0, 1, 2);3;0.7;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(6,);1;0.75;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(4,);1;0.75;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(0, 7);2;0.75;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(7,);1;0.8;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(1,);1;0.8;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(0, 2);2;0.8;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(0, 1);2;0.8;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(3,);1;0.85;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(2,);1;0.85;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(0, 3);2;0.85;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
(0,);1;0.95;[[0, 3, 4], [0, 2, 6], [0, 2, 7], [0, 1, 2, 3], [0, 3, 6], [0, 2, 4], [0, 4, 7], [0, 1, 6], [4, 6], [0, 6, 7], [2, 4, 7], [0, 1, 7], [0, 3, 7]];[[5], [8], [9]];
